CAR REGN PREFIX,CAR REGN NO.,BUILDING NO.,FLOOR NO.,NAME,MOBILE NO.,LAND LINE/ MOB. NO.,CAR,MODEL
DL78Od,43,943,Y,Hazel Ramesh,9.19655E+11,9.13247E+11,Hyundai,i20
DL29yO,1678,759,C,Zeeshan Chauhan,2005207562,7073925332,Tata,Nexon
DL99SX,6317,763,U,Indrans Shere,9.14436E+11,1558787935,Tata,Nexon
DL96Dy,8344,534,R,Samaira Sangha,1993769218,9.15142E+11,Tata,Nexon
DL86Nw,3261,268,U,Prisha Tella,1015982681,9.15183E+11,Ford,EcoSport
DL71sF,5947,307,B,Nitara Randhawa,90422558,2496203133,Honda,City
DL67Fg,8795,960,Z,Farhan Bir,3824817432,3164323113,Mahindra,Thar
DL12aL,8853,382,G,Ishita Dhillon,9.17012E+11,3157785335,Hyundai,i20
DL97Yx,2734,114,R,Mehul Sangha,9.19917E+11,4820660813,Mahindra,Thar
DL97Go,2425,913,O,Tiya Bava,1732659519,5495204271,Hyundai,i20
DL09gE,4254,399,D,Neelofar Sandal,4985450348,9.17674E+11,Skoda,Rapid
DL38CA,3557,332,Y,Miraan Atwal,6918035178,9.11145E+11,Renault,Kwid
DL57rx,4387,982,W,Raunak Chandran,2887584927,8618335116,Renault,Kwid
DL22qW,9943,829,E,Yashvi Kara,9.1022E+11,1046534150,Hyundai,i20
DL09pM,5683,223,O,Shayak Sekhon,9.12033E+11,9.13498E+11,Tata,Nexon
DL04ML,8475,849,X,Jayesh Sibal,9.10872E+11,4872087442,Volkswagen,Polo
DL23wl,7555,455,V,Tiya Balasubramanian,3117707116,1149237578,Volkswagen,Polo
DL51TX,3624,567,M,Ira Bose,4369990838,9.13883E+11,Volkswagen,Polo
DL25rb,5972,752,B,Indranil Date,9.10103E+11,9.16201E+11,Renault,Kwid
DL83tf,3177,742,W,Romil Sachdev,9.12069E+11,59735125,Tata,Nexon
DL74Wn,8215,724,J,Tushar Gole,9.11046E+11,9672088839,Mahindra,Thar
DL67lx,3377,944,B,Lagan Bajaj,1514823464,7400169342,Mahindra,Thar
